CITY_NAME,STATE_NAME,CRIME_CODE,CRIME_DESCRIPTION,DATE_REPORTED,DATE_OCCURRED,LATITUDE,LONGITUDE,DATE_FORMAT
BALTIMORE,MD,5A,BURGLARY,,2020/10/09 07:00:00+00,39.2875,-76.711,MM/DD/YYYY
BALTIMORE,MD,4E,COMMON ASSAULT,,2020/10/09 02:45:00+00,39.3481,-76.6896,MM/DD/YYYY
BALTIMORE,MD,4E,COMMON ASSAULT,,2020/10/09 15:43:00+00,39.3124,-76.6167,MM/DD/YYYY
BALTIMORE,MD,6G,LARCENY,,2020/10/09 00:30:00+00,39.3011,-76.6167,MM/DD/YYYY
BALTIMORE,MD,6E,LARCENY,,2020/10/09 19:00:00+00,39.2906,-76.543,MM/DD/YYYY
BALTIMORE,MD,4C,AGG. ASSAULT,,2020/10/09 23:34:00+00,39.3152,-76.672,MM/DD/YYYY
BALTIMORE,MD,6E,LARCENY,,2020/10/09 18:30:00+00,39.3708,-76.5597,MM/DD/YYYY
BALTIMORE,MD,6E,LARCENY,,2020/10/09 23:30:00+00,39.3663,-76.6731,MM/DD/YYYY
BALTIMORE,MD,4A,AGG. ASSAULT,,2020/10/09 18:19:00+00,39.3444,-76.6854,MM/DD/YYYY
BALTIMORE,MD,4E,COMMON ASSAULT,,2020/10/09 21:41:00+00,39.3718,-76.5606,MM/DD/YYYY
BALTIMORE,MD,5D,BURGLARY,,2020/10/09 15:00:00+00,39.3519,-76.6969,MM/DD/YYYY
BALTIMORE,MD,4E,COMMON ASSAULT,,2020/10/09 01:50:00+00,39.3151,-76.5993,MM/DD/YYYY
BALTIMORE,MD,5A,BURGLARY,,2020/10/09 11:20:00+00,39.2864,-76.5924,MM/DD/YYYY
BALTIMORE,MD,4A,AGG. ASSAULT,,2020/08/14 21:07:00+00,39.2974,-76.6534,MM/DD/YYYY
BALTIMORE,MD,4B,AGG. ASSAULT,,2020/08/14 16:33:00+00,39.3192,-76.5941,MM/DD/YYYY
BALTIMORE,MD,6J,LARCENY,,2020/08/14 14:23:00+00,39.2692,-76.5889,MM/DD/YYYY
BALTIMORE,MD,4A,AGG. ASSAULT,,2020/08/14 10:00:00+00,39.3266,-76.5944,MM/DD/YYYY
BALTIMORE,MD,4A,AGG. ASSAULT,,2020/08/14 15:55:00+00,39.2802,-76.6377,MM/DD/YYYY
BALTIMORE,MD,5A,BURGLARY,,2020/08/14 21:00:00+00,39.2951,-76.6658,MM/DD/YYYY
BALTIMORE,MD,6D,LARCENY FROM AUTO,,2020/08/14 19:30:00+00,39.3269,-76.6175,MM/DD/YYYY
BALTIMORE,MD,4C,AGG. ASSAULT,,2020/08/14 14:30:00+00,39.2761,-76.6348,MM/DD/YYYY
BALTIMORE,MD,4C,AGG. ASSAULT,,2020/08/14 09:14:00+00,39.3691,-76.5881,MM/DD/YYYY
BALTIMORE,MD,6J,LARCENY,,2020/08/14 00:15:00+00,39.3438,-76.6079,MM/DD/YYYY
BALTIMORE,MD,7A,AUTO THEFT,,2020/08/14 01:30:00+00,39.2618,-76.6366,MM/DD/YYYY
BALTIMORE,MD,4E,COMMON ASSAULT,,2020/08/14 18:15:00+00,39.2759,-76.5328,MM/DD/YYYY
BALTIMORE,MD,4C,AGG. ASSAULT,,2020/08/14 21:54:00+00,39.312,-76.5993,MM/DD/YYYY
BALTIMORE,MD,4E,COMMON ASSAULT,,2020/08/14 10:30:00+00,39.2533,-76.6155,MM/DD/YYYY
BALTIMORE,MD,7A,AUTO THEFT,,2020/08/14 18:00:00+00,39.2921,-76.5818,MM/DD/YYYY
BALTIMORE,MD,7A,AUTO THEFT,,2020/08/14 18:33:00+00,39.2804,-76.6691,MM/DD/YYYY
BALTIMORE,MD,4E,COMMON ASSAULT,,2020/08/14 00:00:00+00,39.3622,-76.583,MM/DD/YYYY
BALTIMORE,MD,4E,COMMON ASSAULT,,2020/08/14 08:05:00+00,39.2665,-76.6502,MM/DD/YYYY
BALTIMORE,MD,4E,COMMON ASSAULT,,2020/08/14 09:14:00+00,39.3691,-76.5881,MM/DD/YYYY
BALTIMORE,MD,5D,BURGLARY,,2020/09/12 03:20:00+00,39.3106,-76.6483,MM/DD/YYYY
BALTIMORE,MD,4E,COMMON ASSAULT,,2020/09/12 06:30:00+00,39.2953,-76.6128,MM/DD/YYYY
BALTIMORE,MD,6E,LARCENY,,2020/09/12 19:00:00+00,39.3444,-76.5592,MM/DD/YYYY
BALTIMORE,MD,4C,AGG. ASSAULT,,2020/09/12 20:30:00+00,39.3034,-76.6226,MM/DD/YYYY
BALTIMORE,MD,4E,COMMON ASSAULT,,2020/09/12 00:08:00+00,39.307,-76.6446,MM/DD/YYYY
BALTIMORE,MD,4E,COMMON ASSAULT,,2020/09/12 22:56:00+00,39.3093,-76.6463,MM/DD/YYYY
