CITY_NAME,STATE_NAME,CRIME_CODE,CRIME_DESCRIPTION,DATE_REPORTED,DATE_OCCURRED,LATITUDE,LONGITUDE,DATE_FORMAT
Washington DC,DC,,HOMICIDE,12/6/2021,9/29/2020,38.94534879,-77.01642474,MM/DD/YYYY
Washington DC,DC,,THEFT/OTHER,9/1/2021,9/1/2021,38.90592447,-76.98934072,MM/DD/YYYY
Washington DC,DC,,THEFT/OTHER,8/12/2021,8/11/2021,38.91251962,-76.98559023,MM/DD/YYYY
Washington DC,DC,,ROBBERY,7/2/2021,7/2/2021,38.960524,-77.00190469,MM/DD/YYYY
Washington DC,DC,,MOTOR VEHICLE THEFT,7/2/2021,7/2/2021,38.8911252,-76.938586,MM/DD/YYYY
Washington DC,DC,,ASSAULT W/DANGEROUS WEAPON,7/2/2021,7/2/2021,38.9072415,-77.04009106,MM/DD/YYYY
Washington DC,DC,,THEFT F/AUTO,7/2/2021,7/2/2021,38.83162982,-76.99183123,MM/DD/YYYY
Washington DC,DC,,MOTOR VEHICLE THEFT,7/7/2021,7/7/2021,38.9131849,-77.01757221,MM/DD/YYYY
Washington DC,DC,,MOTOR VEHICLE THEFT,7/7/2021,7/7/2021,38.91559392,-77.02031712,MM/DD/YYYY
Washington DC,DC,,ROBBERY,7/7/2021,7/7/2021,38.91260841,-77.02875836,MM/DD/YYYY
Washington DC,DC,,ASSAULT W/DANGEROUS WEAPON,7/7/2021,7/7/2021,38.8911252,-76.938586,MM/DD/YYYY
Washington DC,DC,,ASSAULT W/DANGEROUS WEAPON,7/7/2021,7/7/2021,38.85947756,-76.96763707,MM/DD/YYYY
Washington DC,DC,,MOTOR VEHICLE THEFT,7/7/2021,7/7/2021,38.89403943,-76.97899439,MM/DD/YYYY
Washington DC,DC,,THEFT F/AUTO,7/7/2021,7/7/2021,38.90964515,-77.02242848,MM/DD/YYYY
Washington DC,DC,,THEFT/OTHER,7/7/2021,7/3/2021,38.89647219,-76.9915287,MM/DD/YYYY
Washington DC,DC,,THEFT/OTHER,7/7/2021,7/6/2021,38.90020742,-77.01061888,MM/DD/YYYY
Washington DC,DC,,THEFT/OTHER,7/7/2021,7/4/2021,38.89329908,-76.98031608,MM/DD/YYYY
Washington DC,DC,,THEFT F/AUTO,7/11/2021,7/10/2021,38.90444652,-77.05329505,MM/DD/YYYY
Washington DC,DC,,THEFT/OTHER,7/11/2021,7/1/2021,38.910014,-77.03848801,MM/DD/YYYY
Washington DC,DC,,THEFT F/AUTO,7/11/2021,7/10/2021,38.88760696,-77.00702648,MM/DD/YYYY
Washington DC,DC,,MOTOR VEHICLE THEFT,7/11/2021,7/11/2021,38.84653773,-76.98155338,MM/DD/YYYY
Washington DC,DC,,THEFT F/AUTO,7/11/2021,7/10/2021,38.9305045,-77.04485509,MM/DD/YYYY
Washington DC,DC,,THEFT/OTHER,7/11/2021,7/11/2021,38.8851343,-76.99731546,MM/DD/YYYY
Washington DC,DC,,THEFT/OTHER,7/12/2021,7/11/2021,38.91984587,-76.95289941,MM/DD/YYYY
Washington DC,DC,,ASSAULT W/DANGEROUS WEAPON,7/11/2021,7/11/2021,38.89612352,-77.01291168,MM/DD/YYYY
Washington DC,DC,,THEFT F/AUTO,7/31/2021,7/30/2021,38.90389801,-77.06013146,MM/DD/YYYY
Washington DC,DC,,MOTOR VEHICLE THEFT,8/1/2021,7/28/2021,38.8623327,-76.94856407,MM/DD/YYYY
Washington DC,DC,,THEFT F/AUTO,7/31/2021,7/30/2021,38.91929543,-77.04488321,MM/DD/YYYY
Washington DC,DC,,ROBBERY,7/31/2021,7/31/2021,38.91777914,-77.006236,MM/DD/YYYY
Washington DC,DC,,MOTOR VEHICLE THEFT,8/5/2021,8/5/2021,38.94101234,-76.97087791,MM/DD/YYYY
Washington DC,DC,,THEFT/OTHER,8/5/2021,8/5/2021,38.89447403,-76.94962547,MM/DD/YYYY
Washington DC,DC,,THEFT F/AUTO,8/5/2021,8/1/2021,38.92642679,-76.95655478,MM/DD/YYYY
