CITY_NAME,STATE_NAME,CRIME_CODE,CRIME_DESCRIPTION,DATE_REPORTED,DATE_OCCURRED,LATITUDE,LONGITUDE,DATE_FORMAT
Baltimore,Maryland,6D,LARCENY FROM AUTO,,2021/12/31 00:00:00+00,39.3186,-76.6481,MM/DD/YYYY
Baltimore,Maryland,4C,AGG. ASSAULT,,2021/12/31 22:09:00+00,39.2946,-76.628,MM/DD/YYYY
Baltimore,Maryland,6L,LARCENY,,2021/12/31 17:00:00+00,39.3157,-76.6006,MM/DD/YYYY
Baltimore,Maryland,6J,LARCENY,,2021/12/31 08:55:00+00,39.2975,-76.6185,MM/DD/YYYY
Baltimore,Maryland,3NF,ROBBERY,,2021/12/31 19:31:00+00,39.3164,-76.579,MM/DD/YYYY
Baltimore,Maryland,5F,BURGLARY,,2021/12/31 04:00:00+00,39.3302,-76.6771,MM/DD/YYYY
Baltimore,Maryland,6D,LARCENY FROM AUTO,,2021/12/31 10:20:00+00,39.287,-76.5545,MM/DD/YYYY
Baltimore,Maryland,4E,COMMON ASSAULT,,2021/12/31 12:30:00+00,39.3025,-76.5911,MM/DD/YYYY
Baltimore,Maryland,4E,COMMON ASSAULT,,2021/12/31 17:57:00+00,39.2948,-76.5764,MM/DD/YYYY
Baltimore,Maryland,4B,AGG. ASSAULT,,2021/12/31 14:28:00+00,39.2944,-76.5609,MM/DD/YYYY
Baltimore,Maryland,3AF,ROBBERY,,2021/12/31 16:30:00+00,39.3497,-76.6641,MM/DD/YYYY
Baltimore,Maryland,6D,LARCENY FROM AUTO,,2021/12/31 19:30:00+00,39.232,-76.5969,MM/DD/YYYY
Baltimore,Maryland,5A,BURGLARY,,2021/12/31 01:30:00+00,39.3336,-76.5952,MM/DD/YYYY
Baltimore,Maryland,6F,LARCENY,,2021/12/31 19:00:00+00,39.2718,-76.5484,MM/DD/YYYY
Baltimore,Maryland,4E,COMMON ASSAULT,,2021/12/31 12:19:00+00,39.2938,-76.6597,MM/DD/YYYY
Baltimore,Maryland,6J,LARCENY,,2021/12/31 20:10:00+00,39.3321,-76.6045,MM/DD/YYYY
Baltimore,Maryland,4E,COMMON ASSAULT,,2021/12/31 08:28:00+00,39.2914,-76.6439,MM/DD/YYYY
Baltimore,Maryland,6E,LARCENY,,2021/12/31 00:00:00+00,39.3186,-76.6481,MM/DD/YYYY
Baltimore,Maryland,6D,LARCENY FROM AUTO,,2021/12/31 19:00:00+00,39.3641,-76.6132,MM/DD/YYYY
Baltimore,Maryland,6D,LARCENY FROM AUTO,,2021/12/31 00:40:00+00,39.2918,-76.5846,MM/DD/YYYY
Baltimore,Maryland,3P,ROBBERY,,2021/12/31 15:30:00+00,39.326,-76.6121,MM/DD/YYYY
Baltimore,Maryland,4E,COMMON ASSAULT,,2021/12/31 15:00:00+00,39.3571,-76.7019,MM/DD/YYYY
Baltimore,Maryland,6G,LARCENY,,2021/12/31 09:49:00+00,39.3263,-76.5868,MM/DD/YYYY
Baltimore,Maryland,3GF,ROBBERY,,2021/12/31 11:33:00+00,39.2878,-76.5371,MM/DD/YYYY
Baltimore,Maryland,4E,COMMON ASSAULT,,2021/12/31 00:35:00+00,39.3528,-76.6668,MM/DD/YYYY
Baltimore,Maryland,3J,ROBBERY,,2021/12/31 00:00:00+00,39.2836,-76.5821,MM/DD/YYYY
Baltimore,Maryland,3CF,ROBBERY - COMMERCIAL,,2021/12/31 08:35:00+00,39.3669,-76.6518,MM/DD/YYYY
Baltimore,Maryland,3N,ROBBERY,,2021/12/31 15:30:00+00,39.326,-76.6121,MM/DD/YYYY
